epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9095890522003174,9.999999747378752e-06,0.3220142722129822,0.7272727489471436,0.8021472692489624
1,0.8986301422119141,9.999999747378752e-06,0.3027837574481964,0.7272727489471436,0.8414628505706787
2,0.9397260546684265,9.999999747378752e-06,0.2412320077419281,0.7272727489471436,0.8261647820472717
3,0.9452054500579834,9.999999747378752e-06,0.20441265404224396,0.7272727489471436,0.8288698792457581
4,0.9452054500579834,9.999999747378752e-06,0.2134065181016922,0.7272727489471436,0.8140138983726501
5,0.931506872177124,2.9999998787388904e-06,0.21359896659851074,0.75,0.8325473666191101
6,0.9479451775550842,2.9999998787388904e-06,0.1900499314069748,0.75,0.8331825733184814
7,0.931506872177124,2.9999998787388904e-06,0.21574725210666656,0.7272727489471436,0.8550108075141907
8,0.9369863271713257,2.9999998787388904e-06,0.19080603122711182,0.7272727489471436,0.8325830101966858
9,0.9589040875434875,2.9999998787388904e-06,0.1626325398683548,0.7272727489471436,0.8324180245399475
10,0.9287671446800232,8.999999749903509e-07,0.19064262509346008,0.7272727489471436,0.8301208019256592
11,0.9534246325492859,8.999999749903509e-07,0.16529443860054016,0.7272727489471436,0.8365525603294373
